Workbar:,13
Process:,EmptyLine
FileName:,20220801_1052 AM

Part Number 1:,
Qty 1:,0

Part Number 2:,
Qty 2:,0

Part Number 3:,
Qty 3:,0

Part Number 4:,
Qty 4:,0

Part Number 5:,
Qty 5:,0


1,Station 7 Load Shuttle,2022-08-01 11:47:20, ,0,0:01,0:02,,,,,

33,Station 51 Unload,2022-08-01 10:52:59,2022-08-01 11:12:47,19:48,0:00,0:00,,,,,

34,Station 1 Unload Shuttle,2022-08-01 11:13:11,2022-08-01 11:14:43,1:32,0:00,1:00,,,,,

35,Station 2 Que,2022-08-01 11:15:12,2022-08-01 11:22:49,7:37,0:00,2:30,,,,,

36,Station 5 Strip,2022-08-01 11:23:21,2022-08-01 11:31:06,7:45,7:00,7:30,,,,,

37,Station 6 Rinse,2022-08-01 11:31:36,2022-08-01 11:46:49,15:13,0:15,0:15,,,,,

